NTDID,AGENCY,CITY,STATE,UACE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
44929,City of Fort Lauderdale,FORT LAUDERDALE,FL,56602,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
50027,Metro Transit,MINNEAPOLIS,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,Metro Transit
50154,Metropolitan Council,MINNEAPOLIS,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,Metropolitan Council
50155,Metro Mobility,MINNEAPOLIS,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,Metro Mobility
50515,University of Minnesota Transit,MINNEAPOLIS,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,University of Minnesota Transit
50516,City of Plymouth,PLYMOUTH,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,City of Plymouth
50517,City of Maple Grove,OSSEO,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,City of Maple Grove
50518,SouthWest Transit,EDEN PRAIRIE,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,SouthWest Transit
50519,Minnesota Valley Transit Authority,BURNSVILLE,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,Minnesota Valley Transit Authority
20006,City of Long Beach,LONG BEACH,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,City of Long Beach
20007,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",Garden City,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus"
20008,MTA New York City Transit,BROOKLYN,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,MTA New York City Transit
20040,"New York Bus Tours, Inc., dba: New York Bus Service",Bronx,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"New York Bus Tours, Inc., dba: New York Bus Service"
20071,Town of Huntington,HUNTINGTON,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Town of Huntington
20072,Suffolk County ,YAPHANK,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Suffolk County 
20076,Westchester County,WHITE PLAINS,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Westchester County
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad"
20079,"Liberty Lines Transit, Inc.",Yonkers,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Liberty Lines Transit, Inc."
20082,New York City Department of Transportation,NEW YORK,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,New York City Department of Transportation
20084,County of Rockland ,NEW CITY,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,County of Rockland 
20085,Town of Clarkstown ,NEW CITY,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Town of Clarkstown 
20086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,New York,CT,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens
20089,Village of Spring Valley ,Spring Valley,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Village of Spring Valley 
20096,Putnam County ,CARMEL,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Putnam County 
20099,Staten Island Rapid Transit Operating Authority,Staten Island,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Staten Island Rapid Transit Operating Authority
20100,MTA Long Island Rail Road,Jamaica,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,MTA Long Island Rail Road
20117,"Liberty Lines Express, Inc.",Yonkers,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Liberty Lines Express, Inc."
20135,Monsey New Square Trails Corporation,Spring Valley,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Monsey New Square Trails Corporation
20136,Queens Surface Corporation,Flushing,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Queens Surface Corporation
20147,GTJC,Lynbrook,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,GTJC
20159,"Atlantic Paratrans of NYC, Inc.",New York,CT,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Atlantic Paratrans of NYC, Inc."
20171,"Private One of New York, LLC, dba: New York Airport Service",Brooklyn,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Private One of New York, LLC, dba: New York Airport Service"
20175,Private Transportation Corporation,Brooklyn,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Private Transportation Corporation
20177,"Adirondack Transit Lines, Inc,",HURLEY,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Adirondack Transit Lines, Inc,"
20180,Atlantic Express,Staten Island,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Atlantic Express
20188,MTA Bus Company,NEW YORK,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,MTA Bus Company
20189,"BillyBey Ferry Company, LLC",New York,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"BillyBey Ferry Company, LLC"
20206,County of Nassau,MINEOLA,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,County of Nassau
20217,"Hampton Jitney, Inc.",CALVERTON,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Hampton Jitney, Inc."
22930,New York City Economic Development Corporation,New York,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,New York City Economic Development Corporation
20080,New Jersey Transit Corporation,Newark,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,New Jersey Transit Corporation
20098,Port Authority Trans-Hudson Corporation,NEW YORK,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Port Authority Trans-Hudson Corporation
20122,"Academy Lines, Inc.",HOBOKEN,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Academy Lines, Inc."
20126,"Hudson Transit Lines, Inc.",MAHWAH,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Hudson Transit Lines, Inc."
20128,Suburban Transit Corporation,NEW BRUNSWICK,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Suburban Transit Corporation
20132,New Jersey Transit Corporation-45,Newark,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,New Jersey Transit Corporation-45
20149,"Rockland Coaches, Inc.",PARAMUS,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Rockland Coaches, Inc."
20154,New York Waterway,Weehawken,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,New York Waterway
20160,"Community Transit, Inc.",PARAMUS,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Community Transit, Inc."
20161,DeCamp Bus Lines,MONTCLAIR,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,DeCamp Bus Lines
20162,Lafeyette-Greenville IBOA,Jersey City,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Lafeyette-Greenville IBOA
20163,"Lakeland Bus Lines, Inc.",DOVER,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Lakeland Bus Lines, Inc."
20164,Leisure Line,Paramus,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Leisure Line
20165,"Olympia Trails Bus Company, Inc.",ELIZABETH,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Olympia Trails Bus Company, Inc."
20166,"Orange-Newark-Elizabeth, Inc.",Elizabeth,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Orange-Newark-Elizabeth, Inc."
20167,"South Orange Avenue IBOA, c/o: NJ Transit, Carrier Admin.",Newark,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"South Orange Avenue IBOA, c/o: NJ Transit, Carrier Admin."
20168,Trans-Hudson Express,Elizabeth,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Trans-Hudson Express
20170,"Vanpool of New Jersey, Inc.",Newark,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"Vanpool of New Jersey, Inc."
20190,Port Imperial Ferry Corporation,WEEHAWKEN,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Port Imperial Ferry Corporation
20192,Bergen County,HACKENSACK,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Bergen County
20197,Meadowlands Transportation Brokerage Corporation,WOOD RIDGE,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Meadowlands Transportation Brokerage Corporation
20198,"TransOptions, Inc.",Cedar Knolls,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"TransOptions, Inc."
20202,Essex County,NEWARK,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Essex County
20209,Somerset County,SOMERVILLE,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Somerset County
20212,County of Hunterdon,FLEMINGTON,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,County of Hunterdon
20226,"SeaStreak, LLC",Atlantic Highlands,NJ,63217,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,"SeaStreak, LLC"
40035,Central Florida Regional Transportation Authority,ORLANDO,FL,65863,"Orlando, FL",Orlando,MetroPlan,Metro Plan Orlando,Central Florida Regional Transportation Authority
20075,Port Authority Transit Corporation,CAMDEN,NJ,69076,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Port Authority Transit Corporation
20195,Gloucester County,West Deptford,NJ,69076,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Gloucester County
20201,County of Cumberland,BRIDGETON,NJ,69076,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,County of Cumberland
20204,"Senior Citizens United Community Services of Camden County, Inc.",AUDUBON,NJ,69076,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,"Senior Citizens United Community Services of Camden County, Inc."
30019,Southeastern Pennsylvania Transportation Authority,PHILADELPHIA,PA,69076,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Southeastern Pennsylvania Transportation Authority
30057,Pennsylvania Department of Transportation,HARRISBURG,PA,69076,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Pennsylvania Department of Transportation
30075,Delaware Transit Corporation,DOVER,DE,69076,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Delaware Transit Corporation
30077,Borough of Pottstown,POTTSTOWN,PA,69076,"Pottstown, PA",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Borough of Pottstown
90032,City of Phoenix Public Transit Department ,PHOENIX,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Phoenix Public Transit Department 
90034,City of Glendale ,GLENDALE,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Glendale 
90129,City of Mesa,Mesa,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Mesa
90131,City of Scottsdale ,SCOTTSDALE,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Scottsdale 
90132,Maricopa County Special Transportation Services,Phoenix,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,Maricopa County Special Transportation Services
90135,"Sun Cities Area Transit System, Inc.",Sun City,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,"Sun Cities Area Transit System, Inc."
90136,Regional Public Transportation Authority,PHOENIX,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,Regional Public Transportation Authority
90137,Surprise Dial-A-Ride Transit System,Surprise,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,Surprise Dial-A-Ride Transit System
90140,City of Peoria ,PEORIA,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Peoria 
90169,"vRide, Inc. - Valley Metro",Phoenix,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,"vRide, Inc. - Valley Metro"
90172,City of Tempe Transit Division - dba Valley Metro,Tempe,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Tempe Transit Division - dba Valley Metro
90209,"Valley Metro Rail, Inc.",Phoenix,AZ,69184,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,"Valley Metro Rail, Inc."
8,Tri-County Metropolitan Transportation District of Oregon,PORTLAND,OR,71317,"Portland, OR-WA",Portland,Metro,Oregon Metro,Tri-County Metropolitan Transportation District of Oregon
46,City of Wilsonville,WILSONVILLE,OR,71317,"Portland, OR-WA",Portland,Metro,Oregon Metro,City of Wilsonville
52,Metro,Portland,OR,71317,"Portland, OR-WA",Portland,Metro,Oregon Metro,Metro
58,City of Portland,PORTLAND,OR,71317,"Portland, OR-WA",Portland,Metro,Oregon Metro,City of Portland
376,"Ride Connection, Inc.",PORTLAND,OR,71317,"Portland, OR-WA",Portland,Metro,Oregon Metro,"Ride Connection, Inc."
90142,"University of California, Davis",DAVIS,CA,22420,"Davis, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90216,County of Sacramento Municipal Services Agency Department of Transportation,SACRAMENTO,CA,77068,Non-UZA,Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90019,Sacramento Regional Transit District,SACRAMENTO,CA,77068,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90090,Yolo County Transportation District,WOODLAND,CA,77068,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90168,City of Roseville,ROSEVILLE,CA,77068,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90196,County of Placer,AUBURN,CA,77068,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90205,City of Elk Grove,ELK GROVE,CA,77068,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90220,City of Folsom,Folsom,CA,77068,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90223,"Paratransit, Inc.",SACRAMENTO,CA,77068,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90224,"Paratransit, Inc. CTSA",Sacramento,CA,77068,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90229,El Dorado County Transit Authority,DIAMOND SPRINGS,CA,77068,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90061,Yuba-Sutter Transit Authority,MARYSVILLE,CA,97939,"Yuba City, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
60011,VIA Metropolitan Transit,SAN ANTONIO,TX,78580,"San Antonio, TX",San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,VIA Metropolitan Transit
60130,Alamo Area Council of Governments,SAN ANTONIO,TX,78580,"San Antonio, TX",San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,Alamo Area Council of Governments
90026,San Diego Metropolitan Transit System,SAN DIEGO,CA,78661,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90030,North County Transit District,OCEANSIDE,CA,78661,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90054,"San Diego Trolley, Inc.",San Diego,CA,78661,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90095,San Diego Association of Governments,SAN DIEGO,CA,78661,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90185,MTS Contract Services,San Diego,CA,78661,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90188,County of San Diego Transit System,San Diego,CA,78661,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90189,National City Transit,National City,CA,78661,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90193,Chula Vista Transit,Chula Vista,CA,78661,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
20,Kitsap Transit,BREMERTON,WA,9946,"Bremerton, WA",Seattle,PSRC,Puget Sound Regional Council,Kitsap Transit
1,King County Department of Metro Transit,SEATTLE,WA,80389,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,King County Metro
3,Pierce County Transportation Benefit Area Authority,TACOMA,WA,80389,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Pierce Transit
5,City of Everett,EVERETT,WA,80389,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Everett Transit
23,City of Seattle,Seattle,WA,80389,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,City of Seattle
28,County of Pierce,TACOMA,WA,80389,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Pierce County Ferries
29,Snohomish County Public Transportation Benefit Area Corporation,EVERETT,WA,80389,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Community Transit
33,Senior Services of Snohomish County,Seattle,WA,80389,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Senior Services of Snohomish County
35,Washington State Ferries,OLYMPIA,WA,80389,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Washington State Ferries
40,Central Puget Sound Regional Transit Authority,SEATTLE,WA,80389,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,Sound Transit
54,King County Ferry District,Seattle,WA,80389,"Seattle, WA",Seattle,PSRC,Puget Sound Regional Council,King County Ferry District
50146,Madison County Transit District,PONTOON BEACH,IL,77770,"St. Louis, MO-IL",St Louis,EWG,East-West Gateway Council of Governments,Madison County Transit District
70006,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,St. Louis,MO,77770,"St. Louis, MO-IL",St Louis,EWG,East-West Gateway Council of Governments,Bi-State Development Agency of the Missouri-Illinois Metropolitan District
40031,Lakeland Area Mass Transit District,LAKELAND,FL,46828,"Lakeland, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40031,Lakeland Area Mass Transit District ,LAKELAND,FL,46828,"Lakeland, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40026,Manatee County Board of County Commissioners,SARASOTA,FL,9536,"Sarasota-Bradenton, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40046,Sarasota County ,SARASOTA,FL,9536,"Sarasota-Bradenton, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40146,Hernando County Board of County Commissioners,BROOKSVILLE,FL,84024,"Spring Hill, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40027,Pinellas Suncoast Transit Authority,SAINT PETERSBURG,FL,86599,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40041,Hillsborough Area Regional Transit Authority,TAMPA,FL,86599,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40074,Pasco County Board of County Commissioners,NEW PORT RICHEY,FL,86599,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40200,Tampa Bay Area Regional Transit Authority,TAMPA,FL,86599,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40258,"The Looper Group, Inc.",St. Petersburg,FL,86599,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40259,"Jolley Trolley Transportation of Clearwater, Inc.",Clearwater,FL,86599,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
40127,Polk County Transit Services Division - Polk County Board of County Commissioners,Winter Haven,FL,96697,"Winter Haven, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance,Sun Coast Transporation Planning Alliance
30072,"Frederick County, Maryland",FREDERICK,MD,31519,"Frederick, MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Frederick County, Maryland"
30079,City of Fredericksburg,FREDERICKSBURG,VA,31600,"Fredericksburg, VA",Washington DC,COG,Metropolitan Washington Council of Governments,City of Fredericksburg
30088,"County Commissioners of Charles County, MD",LA PLATA,MD,91261,"Waldorf, MD",Washington DC,COG,Metropolitan Washington Council of Governments,"County Commissioners of Charles County, MD"
30030,Washington Metropolitan Area Transit Authority,WASHINGTON,DC,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,Washington Metropolitan Area Transit Authority
30051,"Montgomery County, Maryland",ROCKVILLE,MD,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Montgomery County, Maryland"
30058,City of Fairfax,FAIRFAX,VA,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,City of Fairfax
30068,"Fairfax County, VA",FAIRFAX,VA,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Fairfax County, VA"
30070,Potomac and Rappahannock Transportation Commission,WOODBRIDGE,VA,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,Potomac and Rappahannock Transportation Commission
30071,City of Alexandria,ALEXANDRIA,VA,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,City of Alexandria
30073,Virginia Railway Express,Alexandria,VA,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,Virginia Railway Express
30080,"Arlington County, Virginia",ARLINGTON,VA,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Arlington County, Virginia"
30081,Loudoun County,LEESBURG,VA,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,Loudoun County
30085,"Prince George's County, Maryland",LARGO,MD,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Prince George's County, Maryland"
30103,"Martz Group, National Coach Works of Virginia",Fredericksburg,VA,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,"Martz Group, National Coach Works of Virginia"
30112,DDOT - Progressive Transportation Services Administration,WASHINGTON,DC,92242,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments,DDOT - Progressive Transportation Services Administration
